the/entrance
the/atrium
inspire and collaborate 1
inspire and collaborate 2
the/lift
the/accessible toilet
flex lab 1
flex lab 2
the/vending machine
the/water bottle station
the/toilets
the/toilets_1
the/toilets_2
the/shower
the/cafe
the/creative studio
the/gaming studio
the/maths gym
the/management and support centre
meeting room g.1
meeting room g.2
meeting room g.3
meeting room g.4
meeting room g.5
meeting room g.6
meeting room g.7
meeting room 1.1
meeting room 1.2
meeting room 1.3
meeting room 1.4
meeting room 1.5
the/digital lab
the/digital lab zone a
the/digital lab zone b
the/business and enterprise hub
the/imagineering suite
the/partner suite
the/boardroom
maker bay 1
maker bay 2
discovery zone 1
discovery zone 2
the/faraday cage
